epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1578.6,0.77849,0.53594,1.00079,1,0.96219,0.99227,0.84014,0.49362,0.77693,0.62097,0.0005942,0.0005942,0.0005942
73,1599.74,0.81001,0.58357,1.04139,0.96398,0.96667,0.984,0.8566,0.39692,0.63536,0.58452,0.0005744,0.0005744,0.0005744
74,1619.7,0.78862,0.566,1.04547,0.9822,0.96667,0.98808,0.78907,0.55694,0.98086,0.65124,0.0005546,0.0005546,0.0005546
75,1640.25,0.7603,0.55213,1.00838,0.98793,0.96667,0.98643,0.80828,0.56181,1.3361,0.63387,0.0005348,0.0005348,0.0005348
76,1661.35,0.76687,0.55798,1.00749,0.99264,0.96667,0.98593,0.85166,0.44209,0.56693,0.59808,0.000515,0.000515,0.000515
77,1682.17,0.74914,0.53547,0.99924,0.95845,0.96667,0.98595,0.83671,0.50804,0.64767,0.61526,0.0004952,0.0004952,0.0004952
78,1704.3,0.77356,0.54754,1.01282,0.98886,0.96667,0.99,0.8353,0.5426,1.31601,0.6171,0.0004754,0.0004754,0.0004754
79,1723.45,0.74901,0.52336,1.00237,1,0.98435,0.995,0.8805,0.45022,0.88892,0.59394,0.0004556,0.0004556,0.0004556
80,1745.46,0.71099,0.5055,0.99263,0.9366,0.98513,0.99125,0.80927,0.55627,1.07201,0.62922,0.0004358,0.0004358,0.0004358
81,1764.95,0.77101,0.54145,1.0063,0.96268,0.96667,0.99147,0.85493,0.45811,0.70299,0.60082,0.000416,0.000416,0.000416
82,1787.78,0.75112,0.52266,1.0065,0.97354,0.96667,0.99,0.88178,0.39624,0.57758,0.58915,0.0003962,0.0003962,0.0003962
83,1807.04,0.77295,0.53614,1.01668,0.96165,0.96667,0.98768,0.83622,0.48307,1.54215,0.61863,0.0003764,0.0003764,0.0003764
84,1829.33,0.72875,0.52455,0.99606,0.98237,0.96667,0.99147,0.8639,0.43966,0.87001,0.60538,0.0003566,0.0003566,0.0003566
85,1849.9,0.74551,0.53093,1.00895,0.99564,0.96667,0.99,0.85793,0.47339,0.56053,0.60964,0.0003368,0.0003368,0.0003368
86,1870.2,0.72222,0.52095,0.98838,0.9795,0.96667,0.99227,0.865,0.4801,0.71665,0.61497,0.000317,0.000317,0.000317
87,1890.99,0.71438,0.49866,0.99152,0.97403,0.96667,0.99147,0.85706,0.48442,0.68434,0.62054,0.0002972,0.0002972,0.0002972
88,1911.3,0.71995,0.50621,0.9863,0.95884,0.96667,0.989,0.85706,0.47317,0.48528,0.61385,0.0002774,0.0002774,0.0002774
89,1931.97,0.74025,0.52547,1.01401,0.96648,0.96667,0.98794,0.83858,0.47507,0.53726,0.61328,0.0002576,0.0002576,0.0002576
90,1953.99,0.72734,0.50951,1.00556,0.96043,0.96667,0.98661,0.866,0.42345,0.72758,0.60273,0.0002378,0.0002378,0.0002378
91,1975.09,0.65182,0.4364,0.96631,0.93425,0.93333,0.99034,0.86003,0.45978,0.67478,0.61814,0.000218,0.000218,0.000218
92,1996.04,0.66618,0.44326,0.95771,1,0.96207,0.99312,0.83983,0.46828,0.50215,0.62309,0.0001982,0.0001982,0.0001982
93,2013.63,0.6712,0.45495,0.99031,0.98692,0.96667,0.99312,0.83991,0.44691,0.46068,0.61757,0.0001784,0.0001784,0.0001784
94,2033.63,0.67876,0.41375,0.97383,0.98839,0.96667,0.99312,0.86328,0.41475,0.41135,0.59966,0.0001586,0.0001586,0.0001586
95,2053.95,0.67669,0.43387,0.99829,0.96653,0.96667,0.99312,0.86903,0.38467,0.50434,0.59337,0.0001388,0.0001388,0.0001388
96,2072.94,0.64706,0.41815,0.96045,0.96474,0.96667,0.99312,0.85215,0.45831,0.43943,0.61216,0.000119,0.000119,0.000119
97,2092.55,0.66011,0.41662,0.9736,0.96645,0.96667,0.99312,0.86521,0.41211,0.44272,0.59797,9.92e-05,9.92e-05,9.92e-05
